n,count_commentators,count_lines,text
547,3,2,"<dl><dt><span class=""line"" id=""tln_0547-speech"">Luci.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0547"">Fie brother, how the world is chang&rsquo;d with you: </span><span class=""line"" id=""tln_0548"">When were you wont to vse my sister thus? </span><span class=""line"" id=""tln_0549"">She sent for you by Dromio home to dinner.</span></p></dd></dl>"
550,0,0,"<dl><dt><span class=""line"" id=""tln_0550-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0550"">By Dromio?</span></p></dd></dl>"
550,0,0,"<dl><dt><span class=""line"" id=""tln_0550-speech"">Drom.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0550"">By me.</span></p></dd></dl>"
551,0,2,"<dl><dt><span class=""line"" id=""tln_0551-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0551"">By thee, and this thou didst returne from him. </span><span class=""line"" id=""tln_0552"">That he did buffet thee, and in his blowes, </span><span class=""line"" id=""tln_0553"">Denied my house for his, me for his wife.</span></p></dd></dl>"
554,0,1,"<dl><dt><span class=""line"" id=""tln_0554-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0554"">Did you conuerse sir with this gentlewoman: </span><span class=""line"" id=""tln_0555"">What is the course and drift of your compact?</span></p></dd></dl>"
556,0,0,"<dl><dt><span class=""line"" id=""tln_0556-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0556"">I sir? I neuer saw her till this time.</span></p></dd></dl>"
557,3,1,"<dl><dt><span class=""line"" id=""tln_0557-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0557"">Villaine thou liest, for euen her verie words, </span><span class=""line"" id=""tln_0558"">Didst thou deliuer to me on the Mart.</span></p></dd></dl>"
559,0,0,"<dl><dt><span class=""line"" id=""tln_0559-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0559"">I neuer spake with her in all my life.</span></p></dd></dl>"
560,2,1,"<dl><dt><span class=""line"" id=""tln_0560-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0560"">How can she thus then call vs by our names? </span><span class=""line"" id=""tln_0561"">Vnlesse it be by inspiration.</span></p></dd></dl>"
562,20,12,"<dl><dt><span class=""line"" id=""tln_0562-speech"">Adri.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0562"">How ill agrees it with your grauitie, </span><span class=""line"" id=""tln_0563"">To counterfeit thus grosely with your slaue, </span><span class=""line"" id=""tln_0564"">Abetting him to thwart me in my moode; </span><span class=""line"" id=""tln_0565"">Be it my wrong, you are from me exempt, </span><span class=""line"" id=""tln_0566"">But wrong not that wrong with a more contempt. </span><span class=""line"" id=""tln_0567"">Come I will fasten on this sleeue of thine: </span><span class=""line"" id=""tln_0568"">Thou art an Elme my husband, I a Vine: </span><span class=""line"" id=""tln_0569"">Whose weaknesse married to thy stranger state, </span><span class=""line"" id=""tln_0570"">Makes me with thy strength to communicate: </span><span class=""line"" id=""tln_0571"">If ought possesse thee from me, it is drosse, </span><span class=""line"" id=""tln_0572"">Vsurping Iuie, Brier, or idle Mosse, </span><span class=""line"" id=""tln_0573"">Who all for want of pruning, with intrusion, </span><span class=""line"" id=""tln_0574"">Infect thy sap, and liue on thy confusion.</span></p></dd></dl>"
575,13,6,"<dl><dt><span class=""line"" id=""tln_0575-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0575"">To mee shee speakes, shee moues mee for her </span><span class=""line"" id=""tln_0576"">theame; </span><span class=""line"" id=""tln_0577"">What, was I married to her in my dreame? </span><span class=""line"" id=""tln_0578"">Or sleepe I now, and thinke I heare all this? </span><span class=""line"" id=""tln_0579"">What error driues our eies and eares amisse? </span><span class=""line"" id=""tln_0580"">Vntill I know this sure vncertaintie, </span><span class=""line"" id=""tln_0581"">Ile entertaine the free&rsquo;d fallacie.</span></p></dd></dl>"
582,3,0,"<dl><dt><span class=""line"" id=""tln_0582-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0582"">Dromio, goe bid the seruants spred for dinner.</span></p></dd></dl>"
583,16,4,"<dl><dt><span class=""line"" id=""tln_0583-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0583"">Oh for my beads, I crosse me for a sinner. </span><span class=""line"" id=""tln_0584"">This is the Fairie land, oh spight of spights, </span><span class=""line"" id=""tln_0585"">We talke with Goblins, Owles and Sprights; </span><span class=""line"" id=""tln_0586"">If we obay them not, this will insue: </span><span class=""line"" id=""tln_0587"">They&rsquo;ll sucke our breath, or pinch vs blacke and blew.</span></p></dd></dl>"
588,4,1,"<dl><dt><span class=""line"" id=""tln_0588-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0588"">Why prat&rsquo;st thou to thy selfe, and answer&rsquo;st not? </span><span class=""line"" id=""tln_0589"">Dromio, thou Dromio, thou snaile, thou slug, thou sot.</span></p></dd></dl>"
590,1,0,"<dl><dt><span class=""line"" id=""tln_0590-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0590"">I am transformed Master, am I not?</span></p></dd></dl>"
591,2,0,"<dl><dt><span class=""line"" id=""tln_0591-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0591"">I thinke thou art in minde, and so am I.</span></p></dd></dl>"
592,0,0,"<dl><dt><span class=""line"" id=""tln_0592-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0592"">Nay Master, both in minde, and in my shape.</span></p></dd></dl>"
593,0,0,"<dl><dt><span class=""line"" id=""tln_0593-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0593"">Thou hast thine owne forme.</span></p></dd></dl>"
594,0,0,"<dl><dt><span class=""line"" id=""tln_0594-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0594"">No, I am an Ape.</span></p></dd></dl>"
595,0,0,"<dl><dt><span class=""line"" id=""tln_0595-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0595"">If thou art chang&rsquo;d to ought, &rsquo;tis to an Asse.</span></p></dd></dl>"
596,1,2,"<dl><dt><span class=""line"" id=""tln_0596-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0596"">&rsquo;Tis true she rides me, and I long for grasse. </span><span class=""line"" id=""tln_0597"">&rsquo;Tis so, I am an Asse, else it could neuer be, </span><span class=""line"" id=""tln_0598"">But I should know her as well as she knowes me.</span></p></dd></dl>"
599,10,8,"<dl><dt><span class=""line"" id=""tln_0599-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0599"">Come, come, no longer will I be a foole, </span><span class=""line"" id=""tln_0600"">To put the finger in the eie and weepe; </span><span class=""line"" id=""tln_0601"">Whil&rsquo;st man and Master laughes my woes to scorne: </span><span class=""line"" id=""tln_0602"">Come sir to dinner, Dromio keepe the gate: </span><span class=""line"" id=""tln_0603"">Husband Ile dine aboue with you to day, </span><span class=""line"" id=""tln_0604"">And shriue you of a thousand idle prankes: </span><span class=""line"" id=""tln_0605"">Sirra, if any aske you for your Master, </span><span class=""line"" id=""tln_0606"">Say he dines forth, and let no creature enter: </span><span class=""line"" id=""tln_0607"">Come sister, Dromio play the Porter well.</span></p></dd></dl>"
608,6,4,"<dl><dt><span class=""line"" id=""tln_0608-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0608"">Am I in earth, in heauen, or in hell? </span><span class=""line"" id=""tln_0609"">Sleeping or waking, mad or well aduisde: </span><span class=""line"" id=""tln_0610"">Knowne vnto these, and to my selfe disguisde: </span><span class=""line"" id=""tln_0611"">Ile say as they say, and perseuer so: </span><span class=""line"" id=""tln_0612"">And in this mist at all aduentures go.</span></p></dd></dl>"
613,2,0,"<dl><dt><span class=""line"" id=""tln_0613-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0613"">Master, shall I be Porter at the gate?</span></p></dd></dl>"
614,1,0,"<dl><dt><span class=""line"" id=""tln_0614-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0614"">I, and let none enter, least I breake your pate.</span></p></dd></dl>"
615,0,0,"<dl><dt><span class=""line"" id=""tln_0615-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0615"">Come, come, Antipholus, we dine to late.</span></p></dd></dl>"
619,17,9,"<dl><dt><span class=""line"" id=""tln_0619-speech"">E. Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0619"">Good signior Angelo you must excuse vs all, </span><span class=""line"" id=""tln_0620"">My wife is shrewish when I keepe not howres; </span><span class=""line"" id=""tln_0621"">Say that I lingerd with you at your shop </span><span class=""line"" id=""tln_0622"">To see the making of her Carkanet, </span><span class=""line"" id=""tln_0623"">And that to morrow you will bring it home. </span><span class=""line"" id=""tln_0624"">But here&rsquo;s a villaine that would face me downe </span><span class=""line"" id=""tln_0625"">He met me on the Mart, and that I beat him, </span><span class=""line"" id=""tln_0626"">And charg&rsquo;d him with a thousand markes in gold, </span><span class=""line"" id=""tln_0627"">And that I did denie my wife and house; </span><span class=""line"" id=""tln_0628"">Thou drunkard thou, what didst thou meane by this?</span></p></dd></dl>"
629,9,3,"<dl><dt><span class=""line"" id=""tln_0629-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0629"">Say what you wil sir, but I know what I know, </span><span class=""line"" id=""tln_0630"">That you beat me at the Mart I haue your hand to show; </span><span class=""line"" id=""tln_0631"">If y skin were parchment, &amp; y blows you gaue were ink, </span><span class=""line"" id=""tln_0632"">Your owne hand-writing would tell you what I thinke.</span></p></dd></dl>"
633,5,0,"<dl><dt><span class=""line"" id=""tln_0633-speech"">E. Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0633"">I thinke thou art an asse.</span></p></dd></dl>"
634,6,3,"<dl><dt><span class=""line"" id=""tln_0634-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0634"">Marry so it doth appeare </span><span class=""line"" id=""tln_0635"">By the wrongs I suffer, and the blowes I beare, </span><span class=""line"" id=""tln_0636"">I should kicke being kickt, and being at that passe, </span><span class=""line"" id=""tln_0637"">You would keepe from my heeles, and beware of an asse.</span></p></dd></dl>"
638,7,1,"<dl><dt><span class=""line"" id=""tln_0638-speech"">E. An.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0638"">Y&rsquo;are sad signior Balthazar, pray God our cheer </span><span class=""line"" id=""tln_0639"">May answer my good will, and your good welcom here.</span></p></dd></dl>"
640,1,0,"<dl><dt><span class=""line"" id=""tln_0640-speech"">Bal.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0640"">I hold your dainties cheap sir, &amp; and your welcom deer.</span></p></dd></dl>"
641,3,1,"<dl><dt><span class=""line"" id=""tln_0641-speech"">E. An.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0641"">Oh signior Balthazar, either at flesh or fish, </span><span class=""line"" id=""tln_0642"">A table full of welcome, makes scarce one dainty dish.</span></p></dd></dl>"
643,1,0,"<dl><dt><span class=""line"" id=""tln_0643-speech"">Bal.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0643"">Good meat sir is c&otilde;mon that euery churle affords.</span></p></dd></dl>"
644,2,1,"<dl><dt><span class=""line"" id=""tln_0644-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0644"">And welcome more common, for thats nothing </span><span class=""line"" id=""tln_0645"">but words.</span></p></dd></dl>"
646,3,1,"<dl><dt><span class=""line"" id=""tln_0646-speech"">Bal.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0646"">Small cheere and great welcome, makes a mer-&shy; </span><span class=""line"" id=""tln_0647"">rie feast.</span></p></dd></dl>"
648,8,3,"<dl><dt><span class=""line"" id=""tln_0648-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0648"">I, to a niggardly Host, and more sparing guest: </span><span class=""line"" id=""tln_0649"">But though my cates be meane, take them in good part, </span><span class=""line"" id=""tln_0650"">Better cheere may you haue, but not with better hart. </span><span class=""line"" id=""tln_0651"">But soft, my doore is lockt; goe bid them let vs in.</span></p></dd></dl>"
652,2,0,"<dl><dt><span class=""line"" id=""tln_0652-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0652"">Maud, Briget, Marian, Cisley, Gillian, Ginn.</span></p></dd></dl>"
653,6,4,"<dl><dt><span class=""line"" id=""tln_0653-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0653"">Mome, Malthorse, Capon, Coxcombe, Idi-&shy; </span><span class=""line"" id=""tln_0654"">ot, Patch, </span><span class=""line"" id=""tln_0655"">Either get thee from the dore, or sit downe at the hatch: </span><span class=""line"" id=""tln_0656"">Dost thou coniure for wenches, that y calst for such store, </span><span class=""line"" id=""tln_0657"">When one is one too many, goe get thee from the dore.</span></p></dd></dl>"
658,4,1,"<dl><dt><span class=""line"" id=""tln_0658-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0658"">What patch is made our Porter? my Master </span><span class=""line"" id=""tln_0659"">stayes in the street.</span></p></dd></dl>"
660,4,1,"<dl><dt><span class=""line"" id=""tln_0660-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0660"">Let him walke from whence he came, lest hee </span><span class=""line"" id=""tln_0661"">catch cold on&rsquo;s feet.</span></p></dd></dl>"
662,0,0,"<dl><dt><span class=""line"" id=""tln_0662-speech"">E. Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0662"">Who talks within there? hoa, open the dore.</span></p></dd></dl>"
663,3,1,"<dl><dt><span class=""line"" id=""tln_0663-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0663"">Right sir, Ile tell you when, and you&rsquo;ll tell </span><span class=""line"" id=""tln_0664"">me wherefore.</span></p></dd></dl>"
665,1,1,"<dl><dt><span class=""line"" id=""tln_0665-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0665"">Wherefore? for my dinner: I haue not din&rsquo;d to </span><span class=""line"" id=""tln_0666"">day.</span></p></dd></dl>"
667,1,1,"<dl><dt><span class=""line"" id=""tln_0667-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0667"">Nor to day here you must not come againe </span><span class=""line"" id=""tln_0668"">when you may.</span></p></dd></dl>"
669,0,1,"<dl><dt><span class=""line"" id=""tln_0669-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0669"">What art thou that keep&rsquo;st mee out from the </span><span class=""line"" id=""tln_0670"">howse I owe?</span></p></dd></dl>"
671,2,1,"<dl><dt><span class=""line"" id=""tln_0671-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0671"">The Porter for this time Sir, and my name is </span><span class=""line"" id=""tln_0672"">Dromio.</span></p></dd></dl>"
673,10,5,"<dl><dt><span class=""line"" id=""tln_0673-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0673"">O villaine, thou hast stolne both mine office </span><span class=""line"" id=""tln_0674"">and my name, </span><span class=""line"" id=""tln_0675"">The one nere got me credit, the other mickle blame: </span><span class=""line"" id=""tln_0676"">If thou hadst beene Dromio to day in my place, </span><span class=""line"" id=""tln_0677"">Thou wouldst haue chang&rsquo;d thy face for a name, or thy </span><span class=""line"" id=""tln_0678"">name for an asse.</span></p></dd></dl>"
680,0,1,"<dl><dt><span class=""line"" id=""tln_0680-speech"">Luce.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0680"">What a coile is there Dromio? who are those </span><span class=""line"" id=""tln_0681"">at the gate?</span></p></dd></dl>"
682,0,0,"<dl><dt><span class=""line"" id=""tln_0682-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0682"">Let my Master in Luce.</span></p></dd></dl>"
683,12,1,"<dl><dt><span class=""line"" id=""tln_0683-speech"">Luce.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0683"">Faith no, hee comes too late, and so tell your </span><span class=""line"" id=""tln_0684"">Master.</span></p></dd></dl>"
685,10,2,"<dl><dt><span class=""line"" id=""tln_0685-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0685"">O Lord I must laugh, haue at you with a Pro-&shy; </span><span class=""line"" id=""tln_0686"">uerbe, </span><span class=""line"" id=""tln_0687"">Shall I set in my staffe.</span></p></dd></dl>"
688,2,1,"<dl><dt><span class=""line"" id=""tln_0688-speech"">Luce.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0688"">Haue at you with another, that&rsquo;s when? can </span><span class=""line"" id=""tln_0689"">you tell?</span></p></dd></dl>"
690,5,1,"<dl><dt><span class=""line"" id=""tln_0690-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0690"">If thy name be called Luce, Luce thou hast an-&shy; </span><span class=""line"" id=""tln_0691"">swer&rsquo;d him well.</span></p></dd></dl>"
692,9,1,"<dl><dt><span class=""line"" id=""tln_0692-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0692"">Doe you heare you minion, you&rsquo;ll let vs in I </span><span class=""line"" id=""tln_0693"">hope?</span></p></dd></dl>"
694,5,0,"<dl><dt><span class=""line"" id=""tln_0694-speech"">Luce.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0694"">I thought to haue askt you.</span></p></dd></dl>"
695,0,0,"<dl><dt><span class=""line"" id=""tln_0695-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0695"">And you said no.</span></p></dd></dl>"
696,4,1,"<dl><dt><span class=""line"" id=""tln_0696-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0696"">So come helpe, well strooke, there was blow </span><span class=""line"" id=""tln_0697"">for blow.</span></p></dd></dl>"
698,1,0,"<dl><dt><span class=""line"" id=""tln_0698-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0698"">Thou baggage let me in.</span></p></dd></dl>"
699,0,0,"<dl><dt><span class=""line"" id=""tln_0699-speech"">Luce.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0699"">Can you tell for whose sake?</span></p></dd></dl>"
700,0,0,"<dl><dt><span class=""line"" id=""tln_0700-speech"">E. Drom.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0700"">Master, knocke the doore hard.</span></p></dd></dl>"
701,0,0,"<dl><dt><span class=""line"" id=""tln_0701-speech"">Luce.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0701"">Let him knocke till it ake.</span></p></dd></dl>"
702,4,1,"<dl><dt><span class=""line"" id=""tln_0702-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0702"">You&rsquo;ll crie for this minion, if I beat the doore </span><span class=""line"" id=""tln_0703"">downe.</span></p></dd></dl>"
704,1,1,"<dl><dt><span class=""line"" id=""tln_0704-speech"">Luce.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0704"">What needs all that, and a paire of stocks in the </span><span class=""line"" id=""tln_0705"">towne?</span></p></dd></dl>"
707,1,0,"<dl><dt><span class=""line"" id=""tln_0707-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0707"">Who is that at the doore y keeps all this noise?</span></p></dd></dl>"
708,1,1,"<dl><dt><span class=""line"" id=""tln_0708-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0708"">By my troth your towne is troubled with vn-&shy; </span><span class=""line"" id=""tln_0709"">ruly boies.</span></p></dd></dl>"
710,11,1,"<dl><dt><span class=""line"" id=""tln_0710-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0710"">Are you there Wife? you might haue come </span><span class=""line"" id=""tln_0711"">before.</span></p></dd></dl>"
712,0,0,"<dl><dt><span class=""line"" id=""tln_0712-speech"">Adri.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0712"">Your wife sir knaue? go get you from the dore.</span></p></dd></dl>"
713,2,1,"<dl><dt><span class=""line"" id=""tln_0713-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0713"">If you went in paine Master, this knaue wold </span><span class=""line"" id=""tln_0714"">goe sore.</span></p></dd></dl>"
715,5,1,"<dl><dt><span class=""line"" id=""tln_0715-speech"">Angelo.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0715"">Heere is neither cheere sir, nor welcome, we </span><span class=""line"" id=""tln_0716"">would faine haue either.</span></p></dd></dl>"
717,3,1,"<dl><dt><span class=""line"" id=""tln_0717-speech"">Baltz.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0717"">In debating which was best, wee shall part </span><span class=""line"" id=""tln_0718"">with neither.</span></p></dd></dl>"
719,0,1,"<dl><dt><span class=""line"" id=""tln_0719-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0719"">They stand at the doore, Master, bid them </span><span class=""line"" id=""tln_0720"">welcome hither.</span></p></dd></dl>"
721,3,1,"<dl><dt><span class=""line"" id=""tln_0721-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0721"">There is something in the winde, that we can-&shy; </span><span class=""line"" id=""tln_0722"">not get in.</span></p></dd></dl>"
723,13,5,"<dl><dt><span class=""line"" id=""tln_0723-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0723"">You would say so Master, if your garments </span><span class=""line"" id=""tln_0724"">were thin. </span><span class=""line"" id=""tln_0725"">Your cake here is warme within: you stand here in the </span><span class=""line"" id=""tln_0726"">cold. </span><span class=""line"" id=""tln_0727"">It would make a man mad as a Bucke to be so bought </span><span class=""line"" id=""tln_0728"">and sold.</span></p></dd></dl>"
729,6,0,"<dl><dt><span class=""line"" id=""tln_0729-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0729"">Go fetch me something, Ile break ope the gate.</span></p></dd></dl>"
730,1,1,"<dl><dt><span class=""line"" id=""tln_0730-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0730"">Breake any breaking here, and Ile breake your </span><span class=""line"" id=""tln_0731"">knaues pate.</span></p></dd></dl>"
732,5,2,"<dl><dt><span class=""line"" id=""tln_0732-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0732"">A man may breake a word with your sir, and </span><span class=""line"" id=""tln_0733"">words are but winde: </span><span class=""line"" id=""tln_0734"">I and breake it in your face, so he break it not behinde.</span></p></dd></dl>"
735,1,1,"<dl><dt><span class=""line"" id=""tln_0735-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0735"">It seemes thou want&rsquo;st breaking, out vpon thee </span><span class=""line"" id=""tln_0736"">hinde.</span></p></dd></dl>"
737,1,1,"<dl><dt><span class=""line"" id=""tln_0737-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0737"">Here&rsquo;s too much out vpon thee, I pray thee let </span><span class=""line"" id=""tln_0738"">me in.</span></p></dd></dl>"
739,0,1,"<dl><dt><span class=""line"" id=""tln_0739-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0739"">I, when fowles haue no feathers, and fish haue </span><span class=""line"" id=""tln_0740"">no fin.</span></p></dd></dl>"
741,1,0,"<dl><dt><span class=""line"" id=""tln_0741-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0741"">Well, Ile breake in: go borrow me a crow.</span></p></dd></dl>"
742,5,2,"<dl><dt><span class=""line"" id=""tln_0742-speech"">E. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0742"">A crow without feather, Master meane you so; </span><span class=""line"" id=""tln_0743"">For a fish without a finne, ther&rsquo;s a fowle without a fether, </span><span class=""line"" id=""tln_0744"">If a crow help vs in sirra, wee&rsquo;ll plucke a crow together.</span></p></dd></dl>"
745,0,0,"<dl><dt><span class=""line"" id=""tln_0745-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0745"">Go, get thee gon, fetch me an iron Crow.</span></p></dd></dl>"
746,25,21,"<dl><dt><span class=""line"" id=""tln_0746-speech"">Balth.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0746"">Haue patience sir, oh let it not be so, </span><span class=""line"" id=""tln_0747"">Heerein you warre against your reputation, </span><span class=""line"" id=""tln_0748"">And draw within the compasse of suspect </span><span class=""line"" id=""tln_0749"">Th&rsquo;vnuiolated honor of your wife. </span><span class=""line"" id=""tln_0750"">Once this your long experience of your wisedome, </span><span class=""line"" id=""tln_0751"">Her sober vertue, yeares, and modestie, </span><span class=""line"" id=""tln_0752"">Plead on your part some cause to you vnknowne; </span><span class=""line"" id=""tln_0753"">And doubt not sir, but she will well excuse </span><span class=""line"" id=""tln_0754"">Why at this time the dores are made against you. </span><span class=""line"" id=""tln_0755"">Be rul&rsquo;d by me, depart in patience, </span><span class=""line"" id=""tln_0756"">And let vs to the Tyger all to dinner, </span><span class=""line"" id=""tln_0757"">And about euening come your selfe alone, </span><span class=""line"" id=""tln_0758"">To know the reason of this strange restraint: </span><span class=""line"" id=""tln_0759"">If by strong hand you offer to breake in </span><span class=""line"" id=""tln_0760"">Now in the stirring passage of the day, </span><span class=""line"" id=""tln_0761"">A vulgar comment will be made of it; </span><span class=""line"" id=""tln_0762"">And that supposed by the common rowt </span><span class=""line"" id=""tln_0763"">Against your yet vngalled estimation, </span><span class=""line"" id=""tln_0764"">That may with foule intrusion enter in, </span><span class=""line"" id=""tln_0765"">And dwell vpon your graue when you are dead; </span><span class=""line"" id=""tln_0766"">For slander liues vpon succession; </span><span class=""line"" id=""tln_0767"">For euer hows&rsquo;d, where it gets possession.</span></p></dd></dl>"
768,29,14,"<dl><dt><span class=""line"" id=""tln_0768-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0768"">You haue preuail&rsquo;d, I will depart in quiet, </span><span class=""line"" id=""tln_0769"">And in despight of mirth meane to be merrie: </span><span class=""line"" id=""tln_0770"">I know a wench of excellent discourse, </span><span class=""line"" id=""tln_0771"">Prettie and wittie; wilde, and yet too gentle; </span><span class=""line"" id=""tln_0772"">There will we dine: this woman that I meane </span><span class=""line"" id=""tln_0773"">My wife (but I protest without desert) </span><span class=""line"" id=""tln_0774"">Hath oftentimes vpbraided me withall: </span><span class=""line"" id=""tln_0775"">To her will we to dinner, get you home </span><span class=""line"" id=""tln_0776"">And fetch the chaine, by this I know &rsquo;tis made, </span><span class=""line"" id=""tln_0777"">Bring it I pray you to the Porpentine, </span><span class=""line"" id=""tln_0778"">For there&rsquo;s the house: That chaine will I bestow </span><span class=""line"" id=""tln_0779"">(Be it for nothing but to spight my wife) </span><span class=""line"" id=""tln_0780"">Vpon mine hostesse there, good sir make haste: </span><span class=""line"" id=""tln_0781"">Since mine owne doores refuse to entertaine me, </span><span class=""line"" id=""tln_0782"">Ile knocke else-where, to see if they&rsquo;ll disdaine me.</span></p></dd></dl>"
783,1,0,"<dl><dt><span class=""line"" id=""tln_0783-speech"">Ang.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0783"">Ile meet you at that place some houre hence.</span></p></dd></dl>"
784,0,0,"<dl><dt><span class=""line"" id=""tln_0784-speech"">Anti.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0784"">Do so, this iest shall cost me some expence.</span></p></dd></dl>"
